iter	Passed	Remaining
665	4346	2179
666	4352	2172
667	4359	2166
668	4365	2159
669	4372	2153
670	4378	2147
671	4384	2140
672	4390	2133
673	4397	2126
674	4403	2120
675	4409	2113
676	4415	2106
677	4420	2099
678	4426	2092
679	4433	2086
680	4439	2079
681	4446	2073
682	4452	2066
683	4458	2059
684	4465	2053
685	4471	2046
686	4478	2040
687	4485	2033
688	4490	2027
689	4497	2020
690	4503	2013
691	4509	2007
692	4515	2000
693	4520	1993
694	4527	1986
695	4533	1980
696	4540	1973
697	4546	1967
698	4552	1960
699	4558	1953
700	4564	1946
701	4570	1940
702	4576	1933
703	4582	1926
704	4588	1920
705	4594	1913
706	4601	1907
707	4607	1900
708	4613	1893
709	4620	1887
710	4633	1883
711	4640	1876
712	4645	1870
713	4652	1863
714	4658	1856
715	4664	1850
716	4671	1843
717	4678	1837
718	4684	1830
719	4692	1824
720	4698	1818
721	4704	1811
722	4710	1804
723	4716	1797
724	4722	1791
725	4728	1784
726	4735	1778
727	4742	1771
728	4747	1765
729	4756	1759
730	4762	1752
731	4769	1746
732	4777	1740
733	4784	1733
734	4790	1727
735	4795	1720
736	4802	1713
737	4807	1706
738	4813	1700
739	4821	1693
740	4827	1687
741	4833	1680
742	4839	1674
743	4845	1667
744	4851	1660
745	4857	1653
746	4863	1647
747	4870	1640
748	4876	1634
749	4882	1627
750	4889	1621
751	4895	1614
752	4902	1608
753	4909	1601
754	4916	1595
755	4922	1588
756	4928	1582
757	4935	1575
758	4940	1568
759	4947	1562
760	4953	1555
761	4959	1548
762	4966	1542
763	4972	1535
764	4978	1529
765	4986	1523
766	4992	1516
767	4999	1510
768	5004	1503
769	5011	1496
770	5017	1490
771	5022	1483
772	5029	1476
773	5035	1470
774	5041	1463
775	5048	1457
776	5054	1450
777	5061	1444
778	5067	1437
779	5073	1430
780	5079	1424
781	5087	1418
782	5094	1411
783	5101	1405
784	5106	1398
785	5113	1392
786	5119	1385
787	5125	1378
788	5131	1372
789	5137	1365
790	5143	1358
791	5149	1352
792	5155	1345
793	5161	1339
794	5168	1332
795	5175	1326
796	5182	1319
797	5188	1313
798	5195	1307
799	5202	1300
800	5208	1294
801	5214	1287
802	5220	1280
803	5227	1274
804	5233	1267
805	5239	1261
806	5244	1254
807	5250	1247
808	5258	1241
809	5263	1234
810	5269	1227
811	5276	1221
812	5282	1215
813	5289	1208
814	5298	1202
815	5305	1196
816	5311	1189
817	5318	1183
818	5326	1177
819	5333	1170
820	5341	1164
821	5347	1158
822	5356	1151
823	5362	1145
824	5369	1139
825	5375	1132
826	5382	1126
827	5389	1119
828	5396	1113
829	5402	1106
830	5409	1100
831	5414	1093
832	5421	1086
833	5428	1080
834	5435	1074
835	5441	1067
836	5446	1060
837	5453	1054
838	5459	1047
839	5465	1041
840	5471	1034
841	5477	1027
842	5483	1021
843	5489	1014
844	5496	1008
845	5503	1001
846	5510	995
847	5516	988
848	5522	982
849	5528	975
850	5534	969
851	5540	962
852	5546	955
853	5552	949
854	5559	942
855	5565	936
856	5570	929
857	5576	922
858	5583	916
859	5588	909
860	5595	903
861	5601	896
862	5607	890
863	5615	883
864	5621	877
865	5628	870
866	5635	864
867	5641	857
868	5649	851
869	5655	845
870	5662	838
871	5667	831
872	5673	825
873	5679	818
874	5685	812
875	5691	805
876	5698	799
877	5704	792
878	5710	786
879	5716	779
880	5722	772
881	5728	766
882	5734	759
883	5740	753
884	5747	746
885	5754	740
886	5762	734
887	5768	727
888	5775	721
889	5781	714
890	5787	708
891	5794	701
892	5800	695
893	5806	688
894	5812	681
895	5818	675
896	5825	668
897	5831	662
898	5838	655
899	5844	649
900	5850	642
901	5856	636
902	5862	629
903	5868	623
904	5874	616
905	5880	610
906	5886	603
907	5892	597
908	5899	590
909	5906	584
910	5912	577
911	5919	571
912	5925	564
913	5932	558
914	5939	551
915	5946	545
916	5953	538
917	5959	532
918	5965	525
919	5972	519
920	5978	512
921	5984	506
922	5990	499
923	5996	493
924	6002	486
925	6008	480
926	6014	473
927	6020	467
928	6027	460
929	6033	454
930	6040	447
931	6045	441
932	6052	434
933	6058	428
934	6065	421
935	6072	415
936	6078	408
937	6086	402
938	6093	395
939	6100	389
940	6106	382
941	6112	376
942	6119	369
943	6126	363
944	6132	356
945	6138	350
946	6144	343
947	6151	337
948	6157	330
949	6163	324
950	6169	317
951	6175	311
952	6181	304
953	6188	298
954	6194	291
955	6200	285
956	6207	278
957	6214	272
958	6220	265
959	6227	259
960	6234	253
961	6240	246
962	6247	240
963	6253	233
964	6259	227
965	6265	220
966	6271	214
967	6277	207
